node_id,status,las_path,z_top,z_base,n_finite_raw
0,ok,data/las/1020069094.las,50.5,525.0,950.0
1,ok,data/las/1044966705.las,1814.2,2096.2,511.0
2,ok,data/las/1044966704.las,240.4,2096.4,3660.0
3,ok,data/las/1044839433.las,185.2,3663.2,6821.0
4,ok,data/las/1044839435.las,3319.6,3663.6,553.0
5,ok,data/las/1046531020.las,194.0,3626.0,6753.0
6,ok,data/las/1047174942.las,161.4,3632.9,6823.0
7,ok,data/las/1047174943.las,161.4,3633.4,3411.0
8,ok,data/las/1047174944.las,3348.8,3634.8,452.0
9,ok,data/las/1045086571.las,200.0,3844.5,7158.0
10,ok,data/las/1045086572.las,3503.0,3844.5,548.0
11,ok,data/las/1044219060.las,230.0,3945.0,7424.0
12,ok,data/las/1044249719.las,245.0,4082.5,7621.0
13,ok,data/las/1044753578.las,3677.5,3968.5,447.0
14,ok,data/las/1044753584.las,188.0,3968.5,7425.0
15,ok,data/las/1044753566.las,181.5,4003.5,7509.0
16,ok,data/las/1044753567.las,3671.0,3998.0,521.0
17,ok,data/las/1055386416.las,799.0,2789.25,39673.0
18,ok,data/las/1051674344.las,195.0,3430.0,6386.0
19,ok,data/las/1055386210.las,-15.5,2701.0,54015.0
20,ok,data/las/1055386128.las,2318.75,3384.25,21178.0
21,ok,data/las/1055386304.las,-15.5,2664.0,53290.0
22,ok,data/las/1046088749.las,3180.0,3463.0,430.0
23,ok,data/las/1046088750.las,152.5,3463.0,6485.0
24,ok,data/las/1046088751.las,3180.0,3463.0,430.0
25,ok,data/las/1055386310.las,-5.75,3407.5,67950.0
26,ok,data/las/1055386393.las,-15.5,3367.0,67330.0
27,ok,data/las/1055386353.las,-8.75,3400.5,67870.0
28,ok,data/las/1055386253.las,-15.25,3386.25,67715.0
29,ok,data/las/1046114627.las,-2.0,3415.5,6761.0
30,ok,data/las/1056364818.las,1935.0,3374.0,28450.0
31,ok,data/las/1055386197.las,1092.75,3374.75,45493.0
32,ok,data/las/1055386410.las,-0.75,3381.75,67518.0
33,ok,data/las/1055386252.las,-16.25,3375.0,67505.0
34,ok,data/las/1055386194.las,-5.5,3610.5,72188.0
35,ok,data/las/1046473030.las,3071.0,3410.0,541.0
36,ok,data/las/1046473031.las,201.0,3410.0,6281.0
37,ok,data/las/1046473033.las,2600.0,3410.0,1489.0
38,ok,data/las/1044170350.las,344.0,5780.0,10693.0
39,ok,data/las/1044753589.las,223.5,2364.5,3788.0
40,ok,data/las/1044753592.las,245.0,2365.0,4241.0
41,ok,data/las/1044249738.las,245.0,4020.5,7492.0
42,ok,data/las/1051661161.las,195.0,2965.0,5462.0
43,ok,data/las/1044170352.las,0.0,3130.0,6237.0
44,ok,data/las/1044077634.las,50.0,1078.0,2001.0
45,ok,data/las/1044234216.las,-4.0,1140.5,2290.0
46,ok,data/las/1044966711.las,1088.0,1363.0,494.0
47,ok,data/las/1044966712.las,226.2,1363.2,2217.0
48,ok,data/las/1044234201.las,-4.0,820.5,1586.0
49,ok,data/las/1055936288.las,240.0,1410.0,4681.0
50,ok,data/las/1055936289.las,240.0,1410.0,4681.0
51,ok,data/las/1055936290.las,1190.0,1410.0,881.0
52,ok,data/las/1044077642.las,245.0,4126.0,7675.0
53,ok,data/las/1044818738.las,3296.0,3566.5,495.0
54,ok,data/las/1044818741.las,300.0,3566.5,6486.0
55,ok,data/las/1044818743.las,3296.0,3566.5,495.0
56,ok,data/las/1044818747.las,300.0,3566.5,6486.0
57,ok,data/las/1044818676.las,3296.0,3566.5,495.0
58,ok,data/las/1044818683.las,300.0,3566.5,6486.0
59,ok,data/las/1044818729.las,300.0,3566.5,6486.0
60,ok,data/las/1044818732.las,3296.0,3566.5,495.0
61,ok,data/las/1044818666.las,300.0,3566.5,6486.0
62,ok,data/las/1044818668.las,3296.0,3566.5,495.0
63,ok,data/las/1001179067.las,225.0,2273.0,4096.0
64,ok,data/las/1001179068.las,1801.0,2273.0,944.0
65,ok,data/las/1001179069.las,193.0,2273.0,4160.0
66,ok,data/las/1001179070.las,1833.0,2273.0,880.0
67,ok,data/las/1044219063.las,0.0,3851.0,7100.0
68,ok,data/las/1044165723.las,295.0,3886.5,7127.0
69,ok,data/las/1044219061.las,236.0,3897.0,7316.0
70,ok,data/las/1001178872.las,1550.0,3650.0,4200.0
71,ok,data/las/1001178934.las,1550.0,3650.0,4200.0
72,ok,data/las/1044077638.las,0.0,3698.0,7394.0
73,ok,data/las/1056090109.las,-3.0,3741.0,7420.0
74,ok,data/las/1056090153.las,-3.0,3741.0,7420.0
75,ok,data/las/1001178869.las,1599.0,3705.0,4204.0
76,ok,data/las/1001178931.las,1599.0,3705.0,4204.0
77,ok,data/las/1001178867.las,1699.0,3750.0,4101.0
78,ok,data/las/1001178929.las,1699.0,3750.0,4101.0
79,ok,data/las/1039020733.las,3380.0,3580.0,401.0
80,ok,data/las/1001178866.las,1700.0,3700.0,3999.0
81,ok,data/las/1001178928.las,1700.0,3700.0,3999.0
82,ok,data/las/1001178871.las,1699.0,3701.0,4000.0
83,ok,data/las/1001178933.las,1699.0,3701.0,4000.0
84,ok,data/las/1001178868.las,1699.0,3779.0,4103.0
85,ok,data/las/1001178930.las,1699.0,3779.0,4103.0
86,ok,data/las/1001178870.las,1650.0,3750.0,4199.0
87,ok,data/las/1001178932.las,1650.0,3750.0,4199.0
88,ok,data/las/1051708854.las,0.0,3897.0,7716.0
89,ok,data/las/1028477032.las,271.0,11315.0,22067.0
90,ok,data/las/1044077650.las,272.0,11314.0,16764.0
91,ok,data/las/1033440835.las,250.0,2750.0,5001.0
92,ok,data/las/1044077637.las,200.0,2772.0,5105.0
93,ok,data/las/1044819086.las,245.0,3436.5,6321.0
94,ok,data/las/1044189415.las,245.0,3430.5,6317.0
95,ok,data/las/1044219062.las,0.0,3951.0,7161.0
96,ok,data/las/1052001743.las,0.0,3908.5,7740.0
97,ok,data/las/1044077628.las,224.0,3568.0,6590.0
98,ok,data/las/1045008751.las,315.0,2016.0,3299.0
99,ok,data/las/1044819561.las,295.0,3680.5,6715.0
100,ok,data/las/1044077644.las,288.0,3820.0,6996.0
101,ok,data/las/1044831479.las,3216.4,3502.9,437.0
102,ok,data/las/1044831480.las,241.8,3502.8,6385.0
103,ok,data/las/1045018773.las,0.0,100000.0,16961.0
104,ok,data/las/1045098497.las,0.0,3444.0,6811.0
105,ok,data/las/1045018554.las,0.0,3443.5,6814.0
106,ok,data/las/1044816945.las,295.0,3664.0,6662.0
107,ok,data/las/1045399827.las,0.0,3481.0,34414.0
108,ok,data/las/1033893405.las,150.0,2800.0,5301.0
109,ok,data/las/1033893406.las,1300.0,2800.0,3001.0
110,ok,data/las/1044077614.las,138.0,2862.0,5331.0
111,ok,data/las/1055813704.las,0.0,2499.0,4911.0
112,ok,data/las/1055813705.las,2350.0,2810.5,834.0
113,ok,data/las/1044782582.las,295.0,3405.5,6172.0
114,ok,data/las/1051674703.las,0.0,3480.5,6885.0
115,ok,data/las/1051674704.las,0.0,3480.5,6885.0
116,ok,data/las/1051674705.las,0.0,3480.5,6885.0
117,ok,data/las/1051674706.las,0.0,3480.5,6885.0
118,ok,data/las/1051674708.las,0.0,3480.5,6885.0
119,ok,data/las/1051674709.las,0.0,3480.5,6885.0
120,ok,data/las/1051674711.las,0.0,3480.5,6885.0
121,ok,data/las/1051674713.las,0.0,3480.5,6885.0
122,ok,data/las/1051674714.las,0.0,3480.5,6885.0
123,ok,data/las/1051674715.las,0.0,3480.5,6885.0
124,ok,data/las/1051674701.las,0.0,3480.5,6885.0
125,ok,data/las/1051674702.las,0.0,3480.5,6885.0
126,ok,data/las/1051674707.las,0.0,3480.5,6885.0
127,ok,data/las/1051674710.las,0.0,3480.5,6885.0
128,ok,data/las/1051674712.las,0.0,3480.5,6885.0
129,ok,data/las/1044219058.las,190.0,3161.0,5879.0
