cell_id,grid_ix,grid_iy,n_kernel,n_read,n_used,template_path,type_url,type_las_path,thickness_median,ntg_median,iqr_median,error
g0_1,0,1,80,80,71,runs/runA/02_reps/cell_templates/g0_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/31S40W/1000081216.las,data/las/1000081216.las,3600.0,0.6875,0.26514702726745315,
g0_2,0,2,80,80,70,runs/runA/02_reps/cell_templates/g0_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044095410.las,data/las/1044095410.las,3313.5,0.68359375,0.26659393564894673,
g0_3,0,3,80,80,71,runs/runA/02_reps/cell_templates/g0_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/25S36W/1000080827.las,data/las/1000080827.las,2347.0,0.53125,0.30184501726445007,
g0_4,0,4,80,80,78,runs/runA/02_reps/cell_templates/g0_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044741229.las,data/las/1044741229.las,3979.25,0.541015625,0.32148615382234824,
g10_1,10,1,80,80,70,runs/runA/02_reps/cell_templates/g10_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1045052869.las,data/las/1045052869.las,990.15,0.666015625,0.20462539755504797,
g10_2,10,2,80,80,72,runs/runA/02_reps/cell_templates/g10_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385389.las,data/las/1055385389.las,982.9,0.7421875,0.19176030628133994,
g10_3,10,3,80,80,73,runs/runA/02_reps/cell_templates/g10_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055814081.las,data/las/1055814081.las,934.35,0.71484375,0.2167131677441286,
g10_4,10,4,80,80,53,runs/runA/02_reps/cell_templates/g10_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044772859.las,data/las/1044772859.las,732.0,0.75,0.17617668969671296,
g10_5,10,5,80,80,78,runs/runA/02_reps/cell_templates/g10_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044782687.las,data/las/1044782687.las,2177.0,0.603515625,0.31166500907288985,
g10_6,10,6,80,80,76,runs/runA/02_reps/cell_templates/g10_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/11S10E/1037589182.las,data/las/1037589182.las,2146.0,0.587890625,0.34335396711603894,
g11_1,11,1,80,80,75,runs/runA/02_reps/cell_templates/g11_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813109.las,data/las/1055813109.las,1022.0,0.6875,0.2161373319316131,
g11_2,11,2,80,80,74,runs/runA/02_reps/cell_templates/g11_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813368.las,data/las/1055813368.las,991.1,0.71875,0.21503447808535864,
g11_3,11,3,80,80,75,runs/runA/02_reps/cell_templates/g11_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813658.las,data/las/1055813658.las,952.3,0.70703125,0.21134372224017287,
