rep_id,cell_id,url,las_path,status,thickness,expected_thickness,z_top,z_base,placed_z_top,placed_z_base,short_flag,missing_top_flag,missing_base_flag,condensed_flag,match_j_start,match_j_end,match_s_start,match_s_end,match_span,warp_ratio,dtw_cost_per_step,error
1,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1044966645.las,data/las/1044966645.las,ok,2552.5,3662.5,1360.0,3912.5,1360.0,3912.5,False,False,False,False,0,255,0.0,1.0,,,nan,
2,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044956085.las,data/las/1044956085.las,ok,2520.0,3662.5,1400.0,3920.0,1400.0,3920.0,False,False,False,False,0,255,0.0,1.0,,,nan,
3,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044956083.las,data/las/1044956083.las,ok,522.0,3662.5,3400.0,3922.0,886.5196078431372,4711.950980392157,True,True,True,False,175,200,0.6862745098039216,0.7843137254901961,0.09803921568627451,0.5416666666666666,0.6755535725053256,
4,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044892021.las,data/las/1044892021.las,ok,2551.0,3662.5,1350.0,3901.0,1350.0,3901.0,False,False,False,False,0,255,0.0,1.0,,,nan,
5,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044891969.las,data/las/1044891969.las,ok,3662.5,3662.5,1380.0,5042.5,1380.0,5042.5,False,False,False,False,0,255,0.0,1.0,,,nan,
6,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044230228.las,data/las/1044230228.las,ok,3360.5,3662.5,1410.0,4770.5,1410.0,4770.5,False,False,False,False,0,255,0.0,1.0,,,nan,
7,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/35S43W/1006347465.las,data/las/1006347465.las,ok,4736.0,3662.5,-1.0,4735.0,-1.0,4735.0,False,False,False,False,0,255,0.0,1.0,,,nan,
8,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/33S43W/1001178972.las,data/las/1001178972.las,ok,3643.0,3662.5,1360.0,5003.0,1360.0,5003.0,False,False,False,False,0,255,0.0,1.0,,,nan,
9,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/34S43W/1044170357.las,data/las/1044170357.las,ok,3352.0,3662.5,1678.0,5030.0,1678.0,5030.0,False,False,False,False,0,255,0.0,1.0,,,nan,
10,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044839003.las,data/las/1044839003.las,ok,3779.5,3662.5,1490.5,5270.0,1490.5,5270.0,False,False,False,False,0,255,0.0,1.0,,,nan,
11,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044839000.las,data/las/1044839000.las,ok,320.0,3662.5,4950.5,5270.5,1747.6078431372548,5270.5,True,True,False,False,223,245,0.8745098039215686,0.9607843137254902,0.08627450980392157,0.4791666666666667,0.6182131568114105,
12,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/33S43W/1044170355.las,data/las/1044170355.las,ok,4418.0,3662.5,1370.0,5788.0,1370.0,5788.0,False,False,False,False,0,255,0.0,1.0,,,nan,
13,g0_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/34S42W/1006347559.las,data/las/1006347559.las,ok,1182.0,3662.5,1318.0,2500.0,1318.0,5300.735294117647,True,False,True,False,24,60,0.09411764705882353,0.23529411764705882,0.1411764705882353,0.4457831325301205,0.6546118204372136,
