rep_id,cell_id,cell_tag,score,url,kgs_id,api,api_num_nodash,operator,lease,lat,lon,las_path,picked_gr,picked_por,picked_den,picked_neu,picked_pe,picked_dt
1,g0_1,,24.330,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1044966645.las,1044139187,15-129-21941,15129219410000,"Oxy USA, Inc.",Hentschel 'C' 2,37.19680470,-101.90731030,data/las/1044966645.las,GR,DPHI,RHOB,NPHI,PE,DT
2,g0_1,,24.330,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044956085.las,1044139188,15-129-21942,15129219420000,"Oxy USA, Inc.",Hentschel 'C' 3,37.19363860,-101.90464090,data/las/1044956085.las,GR,DPHI,RHOB,NPHI,PE,DT
3,g0_1,,24.330,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044956083.las,1044139188,15-129-21942,15129219420000,"Oxy USA, Inc.",Hentschel 'C' 3,37.19363860,-101.90464090,data/las/1044956083.las,GR,DPHI,RHOB,NPHI,PE,DT
4,g0_1,,24.330,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044892021.las,1044076539,15-129-21937,15129219370000,"Oxy USA, Inc.",Hentschel 'B' 2,37.19550520,-101.90067180,data/las/1044892021.las,GR,DPHI,RHOB,NPHI,PE,DT
5,g0_1,,24.330,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044891969.las,1044080218,15-129-21938,15129219380000,"Oxy USA, Inc.",Boaldin 'A' 1,36.99441830,-102.01444250,data/las/1044891969.las,GR,DPHI,RHOB,NPHI,PE,DT
6,g0_1,,23.330,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044230228.las,1043017859,15-129-21927,15129219270000,"Oxy USA, Inc.",Landrum 'A' 1,36.99402560,-102.01847980,data/las/1044230228.las,GR,DPHI,RHOB,NPHI,PE,
7,g0_1,,23.170,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/35S43W/1006347465.las,1006096481,15-129-21202,15129212020000,Ensign Operating Co.,Boaldin 1-16,36.99762640,-102.00502460,data/las/1006347465.las,GR,DPHI,RHOB,NPHI,PE,
8,g0_1,,20.100,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/33S43W/1001178972.las,1006095133,15-129-20464,15129204640000,CITIES SERVICE OIL COMPANY,WEATHERFORD 'B' 1,37.17608530,-101.94662720,data/las/1001178972.las,GR,DPHI,RHOB,NPHI,,
9,g0_1,,20.090,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/34S43W/1044170357.las,1037039677,15-129-21815,15129218150000,"EOG Resources, Inc.",CNG 22-1,37.07699110,-101.98293680,data/las/1044170357.las,GR,DPHI,,NPHI,PE,DT
10,g0_1,,19.190,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044839003.las,1044653096,15-129-21957,15129219570000,Anadarko E & P Onshore LLC,Murphy 1-31M,37.21808370,-101.91967080,data/las/1044839003.las,GR,,RHOB,NPHI,,
11,g0_1,,19.190,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044839000.las,1044653096,15-129-21957,15129219570000,Anadarko E & P Onshore LLC,Murphy 1-31M,37.21808370,-101.91967080,data/las/1044839000.las,GR,,RHOB,NPHI,,
12,g0_1,,19.070,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/33S43W/1044170355.las,1031536176,15-129-21741,15129217410000,"Oxy USA, Inc.",WINTER MORROW UNIT 105-WATER,37.17914840,-101.94667930,data/las/1044170355.las,GR,,RHOB,NPHI,PE,
13,g0_1,,19.060,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/34S42W/1006347559.las,1006095591,15-129-20716,15129207160000,Anadarko Production Co.,STATE OF KANSAS 1,37.08851630,-101.87449300,data/las/1006347559.las,GR,DPHI,,NPHI,PE,
14,g0_1,,16.050,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/33S42W/1000081097.las,1030571546,15-129-29369,15129293690000,COLORADO INTERSTATE GAS,BOEHM 42,37.20077620,-101.88294590,data/las/1000081097.las,GR,,RHOB,NPHI,,
15,g0_2,,24.200,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/31S43W/1006347475.las,1006096640,15-129-21317,15129213170000,Charter Production Co.,Hedrick 1,37.37540200,-102.03703880,data/las/1006347475.las,GR,DPHI,RHOB,NPHI,PE,DT
