src_rep_id,dst_rep_id,dtw_cost,dtw_steps,dtw_cost_per_step,dtw_status,dtw_error,dist_km,source,sim
1,2,277.87700872587925,80,3.473462609073491,OK,,0.42408541549865125,quadrant,9.246501045978586e-07
1,4,278.91420109705575,80,3.486427513713197,OK,,0.6054977507396171,quadrant+radius,8.779202710867769e-07
1,10,304.8561562197374,80,3.8107019527467174,OK,,2.6070699648051314,quadrant,2.399565885548388e-07
1,14,305.43128869017954,80,3.8178911086272445,OK,,2.202716728474327,radius,2.3315451830032093e-07
1,3,308.28840607547784,80,3.853605075943473,OK,,0.42408541549865125,quadrant+radius,2.0211675655561417e-07
1,11,316.9882906165426,80,3.9623536327067823,OK,,2.6070699648051314,quadrant+radius,1.3082379037945886e-07
1,12,305.4361345427232,80,3.81795168178404,OK,,4.002125629654837,quadrant,2.3309803352274125e-07
2,4,276.2002359526817,80,3.452502949408521,OK,,0.4082655574780566,quadrant,1.0055139062613302e-06
2,13,297.02414541091446,80,3.712801817636431,OK,,11.990653570862753,quadrant,3.5497897643101797e-07
2,12,300.9956165711965,80,3.762445207139956,OK,,4.057637503175417,quadrant+radius,2.9104707050010997e-07
2,14,302.494052114298,80,3.7811756514287245,OK,,2.079052426068211,radius,2.700381461973832e-07
2,8,334.28064650943793,80,4.1785080813679745,OK,,4.200502344012324,radius,5.510461731534401e-08
2,10,302.7456607920372,80,3.784320759900465,OK,,3.026598149138628,radius,2.666622289288548e-07
2,11,315.44445497119864,80,3.943055687139983,OK,,3.026598149138628,radius,1.413222987150523e-07
3,4,305.3248861978189,80,3.8165610774727363,OK,,0.4082655574780566,quadrant+radius,2.3439823482289786e-07
3,14,308.213442859942,80,3.852668035749275,OK,,2.079052426068211,radius,2.028757441701053e-07
3,10,309.77487282680164,80,3.8721859103350207,OK,,3.026598149138628,radius,1.8763942997795462e-07
3,12,316.35381257724345,80,3.954422657215543,OK,,4.057637503175417,quadrant+radius,1.350405640952076e-07
4,13,291.34746913542335,80,3.641843364192792,OK,,12.120828071341933,quadrant,4.714874007933041e-07
4,12,294.87620090360144,80,3.685952511295018,OK,,4.462998126444661,radius,3.9522522479775465e-07
4,14,296.41771625691274,80,3.705221453211409,OK,,1.6758590563345799,quadrant,3.659073005372971e-07
4,10,296.8049130788672,80,3.71006141348584,OK,,3.022304664430116,quadrant+radius,3.5889152462255606e-07
4,11,309.2877046798795,80,3.8660963084984936,OK,,3.022304664430116,radius,1.9226614863363413e-07
4,8,330.6067333738841,80,4.132584167173551,OK,,4.608297394146839,radius,6.621646633902008e-08
5,9,278.83420945143064,80,3.485427618142883,OK,,9.598123934499872,quadrant,8.814386167136376e-07
5,6,282.55788049641683,80,3.5319735062052104,OK,,0.3612061346628099,quadrant,7.317008913835206e-07
5,7,294.55919324520727,80,3.681989915565091,OK,,0.9092897439976446,quadrant,4.015396064350241e-07
6,9,292.69009707458355,80,3.6586262134322944,OK,,9.749900477042164,quadrant,4.4087482129621226e-07
6,7,298.9188574174897,80,3.736485717718621,OK,,1.2602414338033816,radius,3.228936351572866e-07
7,9,290.7297822451214,80,3.634122278064017,OK,,9.040114351790224,quadrant,4.862761754241769e-07
7,13,307.630087267338,80,3.845376090841725,OK,,15.373950886533976,quadrant,2.0888032359477318e-07
8,9,295.2947311183999,80,3.691184138979999,OK,,11.479378088941,quadrant,3.870404776713997e-07
8,12,312.2834492532368,80,3.9035431156654603,OK,,0.3406329262888235,quadrant,1.6552022193719097e-07
9,250,286.4545466822556,80,3.580681833528195,OK,,13.58711723407383,quadrant,6.021692204091561e-07
9,13,309.43998184065583,80,3.867999773008198,OK,,9.704776215945344,quadrant,1.9080782026987106e-07
10,14,282.2646999511016,80,3.5283087493887697,OK,,3.779068146111794,quadrant+radius,7.425059167940743e-07
10,12,287.45588009408436,80,3.5931985011760545,OK,,4.946352938499246,quadrant+radius,5.727628932680129e-07
10,15,292.7068178911261,80,3.658835223639076,OK,,20.341850820087373,quadrant,4.4050638598089976e-07
10,256,301.01694832781834,80,3.7627118540977293,OK,,27.016147070102885,quadrant,2.9073680872656817e-07
10,22,305.6044298278864,80,3.82005537284858,OK,,16.295582716207704,quadrant,2.311447980550274e-07
11,12,301.8597977746783,80,3.773247472183479,OK,,4.946352938499246,radius,2.78739024556967e-07
11,14,312.38515454862375,80,3.9048144318577966,OK,,3.779068146111794,quadrant+radius,1.6468064433045508e-07
11,22,319.42405595195316,80,3.9928006993994147,OK,,16.295582716207704,quadrant,1.1582298559444988e-07
13,14,300.7945332596227,80,3.7599316657452837,OK,,12.505212836150012,quadrant,2.939880657904454e-07
13,250,307.01654512064334,80,3.8377068140080417,OK,,6.5071903673292075,quadrant,2.1538746757234307e-07
13,244,307.24231601162217,80,3.840528950145277,OK,,11.520472190241309,quadrant,2.1296972860097996e-07
14,22,302.68599089509974,80,3.7835748861887466,OK,,19.528746354940825,quadrant,2.674590023083331e-07
14,251,302.72617255752317,80,3.7840771569690395,OK,,21.204547180231007,quadrant,2.669221943676415e-07
15,21,301.9574354579232,80,3.7744679432240402,OK,,8.416233212846704,quadrant,2.773815690937414e-07
15,22,304.39023434284235,80,3.8048779292855293,OK,,4.435729953367681,quadrant,2.456122615253557e-07
16,256,302.04200073581455,80,3.7755250091976817,OK,,8.003635506203706,quadrant,2.762112026728361e-07
16,19,308.67146567385043,80,3.8583933209231303,OK,,4.3681755517420235,quadrant,1.9828245474172373e-07
16,22,311.7218010177237,80,3.896522512721546,OK,,9.210244153379618,quadrant,1.7023431065842836e-07
16,21,313.7975625275833,80,3.9224695315947913,OK,,6.937973095081159,quadrant,1.5345198404483164e-07
17,256,267.27920635921777,80,3.340990079490222,OK,,9.271860643879197,quadrant,1.5707453312705875e-06
17,259,272.9983897956136,80,3.41247987244517,OK,,17.189206438559747,quadrant,1.1800904265177382e-06
17,19,299.9013480878456,80,3.7487668510980696,OK,,7.458129210652123,quadrant,3.074149404486793e-07
17,21,301.3576584481661,80,3.7669707306020763,OK,,8.393704869487038,quadrant,2.858259086705808e-07
18,28,296.448182014706,80,3.705602275183825,OK,,10.042930445654259,quadrant,3.653503426889195e-07
18,259,304.71042016429726,80,3.808880252053716,OK,,18.431446020746964,quadrant,2.417114909381873e-07
18,268,310.61322383837916,80,3.8826652979797394,OK,,23.81554300990523,quadrant,1.7993661410780046e-07
18,29,324.856713904935,80,4.060708923811688,OK,,12.840845879119598,quadrant,8.827263425156829e-08
19,21,285.7345149759915,80,3.5716814371998935,OK,,8.445866354452452,quadrant,6.242432325342895e-07
19,256,303.80546093790093,80,3.797568261723762,OK,,4.16235143761624,quadrant,2.52899655139585e-07
19,261,310.6285767212843,80,3.8828572090160534,OK,,11.839512338568627,quadrant,1.7979853982220226e-07
19,20,312.4412363048138,80,3.9055154538101724,OK,,4.3681755517420235,quadrant+radius,1.64219512172911e-07
20,256,284.2004520563683,80,3.552505650704604,OK,,8.003635506203706,quadrant,6.740088451054118e-07
20,22,315.868837825725,80,3.9483604728215624,OK,,9.210244153379618,quadrant,1.3835515217068814e-07
20,21,318.23427294838683,80,3.9779284118548355,OK,,6.937973095081159,quadrant,1.229222681733138e-07
22,256,305.7302347253441,80,3.821627934066801,OK,,17.124888214711415,quadrant,2.296954039750413e-07
23,25,313.13218518909633,80,3.914152314863704,OK,,15.394476332709617,quadrant,1.5864302898686437e-07
23,27,315.3705467292468,80,3.9421318341155853,OK,,5.814206715268153,quadrant,1.4184550899075816e-07
23,280,340.03442283489693,80,4.250430285436211,OK,,13.08187466581098,quadrant,4.132818427568434e-08
24,295,302.68428362810863,80,3.783553545351358,OK,,16.098261453197793,quadrant,2.674818344791402e-07
24,26,310.03933246041026,80,3.875491655755128,OK,,5.367527239658675,quadrant,1.8517460928607775e-07
24,277,327.90904947886077,80,4.09886311848576,OK,,22.084232447058632,quadrant,7.577840540952815e-08
25,26,294.1814161311028,80,3.6772677016387854,OK,,8.577910412542977,quadrant,4.091963157081924e-07
25,277,318.22623831743016,80,3.977827978967877,OK,,15.389658798303396,quadrant,1.229716598468028e-07
26,277,314.45810433388453,80,3.9307263041735565,OK,,20.610451874861152,quadrant,1.4846668954494046e-07
27,28,283.92607146985677,80,3.5490758933732094,OK,,18.172646846102175,quadrant,6.833193114698383e-07
27,29,304.17084530230284,80,3.8021355662787855,OK,,16.431026203789173,quadrant,2.4832132475011234e-07
27,280,314.613013072749,80,3.9326626634093627,OK,,11.178546456251718,quadrant,1.4732119207879535e-07
27,279,319.2120742209091,80,3.9901509277613636,OK,,13.908091569834498,quadrant,1.1705713230368096e-07
27,272,320.25917767489506,80,4.003239720936188,OK,,18.45805677047011,quadrant,1.1108625295395093e-07
28,269,309.76133534526997,80,3.8720166918158747,OK,,23.891509067295104,quadrant,1.8776648123785298e-07
28,268,316.992342917413,80,3.9624042864676623,OK,,20.09497377179487,quadrant,1.3079728619664143e-07
28,29,324.4421523337772,80,4.055526904172215,OK,,4.87201033046994,quadrant,9.012145136666583e-08
30,31,277.19561700604237,80,3.46494521257553,OK,,0.4898796392623482,radius,9.566953351040682e-07
30,35,291.63291491238743,80,3.645411436404843,OK,,0.4898796392623482,radius,4.648059893534726e-07
30,38,295.0687172450658,80,3.688358965563322,OK,,0.20141883585662276,quadrant+radius,3.9143911053669534e-07
30,32,303.421287059209,80,3.792766088240113,OK,,0.20141883585662276,quadrant,2.5780448407836575e-07
30,39,309.1592545622327,80,3.864490682027909,OK,,0.20141883585662276,quadrant+radius,1.935049529600044e-07
30,41,304.18941165147663,80,3.802367645643458,OK,,1.8447174608736738,quadrant,2.480909106942241e-07
30,42,310.9385361304811,80,3.886731701631014,OK,,3.008043546151645,radius,1.7703350889066958e-07
30,43,310.6416586877574,80,3.8830207335969673,OK,,2.5562435027405055,radius,1.7968097235324269e-07
30,294,312.70812124739945,80,3.908851515592493,OK,,19.421495793247146,quadrant,1.6204268279565392e-07
31,38,272.94481443770593,80,3.411810180471324,OK,,0.2891129736614513,quadrant+radius,1.1832558526940811e-06
31,40,277.52413364526166,80,3.469051670565771,OK,,0.4898796392623482,radius,9.411091765401105e-07
31,32,287.5588461573832,80,3.5944855769672897,OK,,0.2891129736614513,quadrant,5.698217137899819e-07
31,37,305.0855919304595,80,3.8135698991307434,OK,,4.244253375956406,radius,2.3721958719540705e-07
31,42,311.4109614965115,80,3.892637018706394,OK,,2.9793587959335808,radius,1.7290075547637255e-07
31,43,314.66833770576335,80,3.933354221322042,OK,,2.4305202456261923,quadrant+radius,1.4691423066871912e-07
32,35,281.2150501900286,80,3.5151881273753576,OK,,0.2891129736614513,quadrant+radius,7.825151845838295e-07
32,40,304.74633224183975,80,3.809329153022997,OK,,0.20141883585662276,quadrant+radius,2.412778622770744e-07
32,43,307.10319700758026,80,3.8387899625947535,OK,,2.4818380061152707,radius,2.1445629969091487e-07
32,37,307.47922425094436,80,3.8434903031368046,OK,,3.9575887071212077,radius,2.1046189690273885e-07
32,42,310.4752143400058,80,3.8809401792500724,OK,,2.974194421265694,radius,1.8118255605201822e-07
33,296,293.5208010853987,80,3.669010013567484,OK,,47.13977255004829,quadrant,4.2293807886819825e-07
33,295,293.5971365084861,80,3.669964206356076,OK,,14.51686695575669,quadrant,4.213268977194957e-07
33,42,310.7441210256209,80,3.8843015128202616,OK,,7.63685639616293,quadrant,1.7876279968956014e-07
33,35,314.733799046725,80,3.9341724880840623,OK,,8.526188709311155,quadrant,1.4643415662727076e-07
33,43,314.96858885687266,80,3.9371073607109084,OK,,7.288903744844401,quadrant,1.4472514532390293e-07
34,290,297.9190853439825,80,3.723988566799781,OK,,16.870401288547452,quadrant,3.394448773985772e-07
34,294,314.0194303918858,80,3.9252428798985726,OK,,17.896791276589692,quadrant,1.5175908818698017e-07
34,38,320.59765604357665,80,4.007470700544708,OK,,2.6328067373375124,radius,1.092220575104985e-07
34,35,321.12036260413413,80,4.014004532551676,OK,,2.921616990592823,radius,1.0640448270856919e-07
34,43,327.74472154751265,80,4.096809019343908,OK,,4.0935102798184975,radius,7.640359572824333e-08
35,38,272.9881264370907,80,3.412351580463634,OK,,0.2891129736614513,radius,1.1806961664844449e-06
35,40,291.8143702361527,80,3.6476796279519084,OK,,0.4898796392623482,radius,4.6060798583788805e-07
35,37,306.19805970832624,80,3.827475746354078,OK,,4.244253375956406,radius,2.2438489342513075e-07
35,43,308.31087015289336,80,3.853885876911167,OK,,2.4305202456261923,radius,2.0188986567851146e-07
35,42,309.3648740489861,80,3.8670609256123263,OK,,2.9793587959335808,radius,1.9152572513306848e-07
36,290,286.6167952547068,80,3.582709940683835,OK,,15.52256448375389,quadrant,5.973039269455182e-07
36,297,301.8548832286247,80,3.773186040357809,OK,,17.48524442959647,quadrant,2.788075267617093e-07
36,37,310.18502776900976,80,3.877312847112622,OK,,5.147535647606609,quadrant,1.838305571897844e-07
37,41,274.14479438829267,80,3.4268099298536585,OK,,2.695011419288709,radius,1.1143495133254087e-06
37,38,302.5553968327822,80,3.7819424604097778,OK,,3.9575887071212077,radius,2.6921114444756176e-07
37,39,285.63778446920395,80,3.5704723058650494,OK,,3.9575887071212077,radius,6.272697136731219e-07
37,42,286.7070449778876,80,3.5838380622235952,OK,,4.696874514782344,radius,5.946146734154351e-07
37,43,291.1321944610517,80,3.639152430763146,OK,,4.879213865742836,radius,4.7658977667227887e-07
37,40,305.9721518244957,80,3.8246518978061963,OK,,3.7622338551636982,radius,2.2693377747193227e-07
37,290,311.99176854790807,80,3.899897106848851,OK,,16.53408055008368,quadrant,1.6795186316243445e-07
38,40,295.6586112870966,80,3.695732641088708,OK,,0.20141883585662276,radius,3.800623326627942e-07
38,41,308.50320926834803,80,3.8562901158543506,OK,,1.9628310045451423,quadrant+radius,1.999576058899809e-07
38,43,311.22556289228476,80,3.8903195361535596,OK,,2.4818380061152707,radius,1.7451098524111165e-07
39,42,260.6556676583761,80,3.258195845729701,OK,,2.974194421265694,radius,2.1874296419349057e-06
39,41,269.6704764488688,80,3.37088095561086,OK,,1.9628310045451423,quadrant+radius,1.3937343612295081e-06
39,296,309.6792870838825,80,3.8709910885485312,OK,,43.011751021515316,quadrant,1.8853835910284907e-07
39,43,267.7194977940732,80,3.3464937224259153,OK,,2.4818380061152707,radius,1.536543891782248e-06
39,40,309.01295820338254,80,3.862661977542282,OK,,0.20141883585662276,radius,1.9492559600000842e-07
40,41,307.0803797364958,80,3.8385047467061972,OK,,1.8447174608736738,quadrant+radius,2.1470110468520155e-07
40,43,311.2765951280668,80,3.890957439100835,OK,,2.5562435027405055,radius,1.7406626856728214e-07
41,42,273.795920848885,80,3.422449010611062,OK,,2.1449777307767244,quadrant,1.133958394546456e-06
41,43,283.12716707584985,80,3.5390895884481233,OK,,2.197375671739453,quadrant+radius,7.111671425752731e-07
42,43,267.27887580188815,80,3.3409859475236017,OK,,0.7434009355433451,quadrant,1.570771292554241e-06
44,47,278.03044110140064,80,3.475380513767508,OK,,33.52051640146407,quadrant,9.17583681602877e-07
44,935,290.4597054481071,80,3.630746318101339,OK,,17.212510191054257,quadrant,4.928873083973706e-07
44,51,294.31560814409244,80,3.6789451018011556,OK,,55.27837942773129,quadrant,4.064599620283572e-07
44,933,310.43332385515805,80,3.8804165481894755,OK,,4.5746153944871155,quadrant,1.8156244501240336e-07
45,46,252.7520346540726,80,3.1594004331759074,OK,,2.9796485457496136,quadrant,3.247575848515087e-06
45,52,288.44108524737254,80,3.605513565592157,OK,,23.77193774931728,quadrant,5.452320994615622e-07
45,47,302.4618206494357,80,3.7807727581179464,OK,,18.525893701679514,quadrant,2.704736833041247e-07
45,48,309.46090571400515,80,3.8682613214250643,OK,,10.376135391365164,quadrant,1.9060830272179764e-07
45,49,320.4609749518054,80,4.0057621868975675,OK,,9.566395431469033,quadrant,1.0997104340397171e-07
46,73,277.6545025704555,80,3.470681282130694,OK,,14.691596310920955,quadrant,9.349945575070172e-07
46,65,296.2885213762165,80,3.7036065172027066,OK,,23.89408478492334,quadrant,3.682786188479761e-07
46,48,306.40894983354656,80,3.830111872919332,OK,,10.31972347045026,quadrant,2.220312960798395e-07
46,937,326.48047924811914,80,4.081005990601489,OK,,18.025292947983775,quadrant,8.138914208893203e-08
47,51,294.55508218321603,80,3.6819385272902005,OK,,43.41278021927532,quadrant,4.016221526292461e-07
47,53,295.82050714915806,80,3.6977563393644757,OK,,25.441244525239906,quadrant,3.769982251034457e-07
47,49,298.20135610178585,80,3.727516951272323,OK,,12.858059712568592,quadrant,3.3468775811613675e-07
47,134,315.7357873516751,80,3.946697341895939,OK,,38.25898877807658,quadrant,1.3927863142789492e-07
47,144,303.8578631135092,80,3.798223288918865,OK,,43.58736241023672,quadrant,2.522378978492126e-07
47,933,316.4519533529973,80,3.955649416912466,OK,,33.006613974793765,quadrant,1.3437953797608874e-07
48,931,280.8265417425211,80,3.5103317717815137,OK,,17.943499835119873,quadrant,7.978644731014841e-07
48,937,314.5166387913,80,3.9314579848912503,OK,,15.388150467643019,quadrant,1.4803280393028823e-07
48,49,299.93736391665107,80,3.7492170489581382,OK,,10.009371927093165,quadrant,3.0686184840648065e-07
48,73,300.79120013627755,80,3.7598900017034693,OK,,24.82361299340779,quadrant,2.9403706479758946e-07
48,930,304.84495119656725,80,3.8105618899570906,OK,,12.874748970139027,quadrant,2.4009106217755226e-07
49,931,292.97237887397563,80,3.6621547359246955,OK,,19.34630648255298,quadrant,4.346959813270039e-07
49,933,310.27441385871884,80,3.8784301732339856,OK,,32.312383373140065,quadrant,1.8301079570235813e-07
50,70,262.96053387393283,80,3.2870066734241603,OK,,1.314481863854295,quadrant,1.9493263751775434e-06
50,66,264.613115925033,80,3.3076639490629125,OK,,12.660698395286683,quadrant,1.7947303031542878e-06
50,54,265.66230545604145,80,3.3207788182005182,OK,,13.458753451367174,quadrant,1.7030066135820916e-06
50,57,273.18880646524303,80,3.414860080815538,OK,,13.895688902819245,quadrant,1.1689082981330032e-06
50,131,300.4355101382659,80,3.755443876728324,OK,,21.753780726108165,quadrant,2.993131441003273e-07
50,137,302.0561967938717,80,3.7757024599233966,OK,,38.85057787782019,quadrant,2.7601521672330305e-07
51,144,276.86963291102626,80,3.460870411387828,OK,,1.1473332216602787,quadrant,9.724164813016938e-07
51,138,342.51569269693726,80,4.281446158711716,OK,,36.577288894535805,quadrant,3.650616688606211e-08
