rep_id,lat,lon,bin_id
1,37.1968047,-101.9073103,g0_1
2,37.1936386,-101.9046409,g0_1
3,37.1936386,-101.9046409,g0_1
4,37.1955052,-101.9006718,g0_1
5,36.9944183,-102.0144425,g0_1
6,36.9940256,-102.0184798,g0_1
7,36.9976264,-102.0050246,g0_1
8,37.1760853,-101.9466272,g0_1
9,37.0769911,-101.9829368,g0_1
10,37.2180837,-101.9196708,g0_1
11,37.2180837,-101.9196708,g0_1
12,37.1791484,-101.9466793,g0_1
13,37.0885163,-101.874493,g0_1
14,37.2007762,-101.8829459,g0_1
15,37.375402,-102.0370388,g0_2
16,37.4127354,-101.9279534,g0_2
17,37.5046954,-101.9399869,g0_2
18,37.8001323,-101.9743044,g0_2
19,37.4454031,-101.9004779,g0_2
20,37.4127354,-101.9279534,g0_2
21,37.4437586,-101.9961242,g0_2
22,37.3509516,-101.9973814,g0_2
23,38.0923284,-102.0324524,g0_3
24,38.3476239,-102.0101698,g0_3
25,38.2290333,-102.0046183,g0_3
26,38.3028492,-102.0331617,g0_3
27,38.0535099,-101.9879527,g0_3
28,37.8904501,-101.9740006,g0_3
29,37.9085849,-102.0245473,g0_3
30,38.6823558,-102.0018165,g0_4
31,38.6779584,-102.0014726,g0_4
32,38.6805444,-102.0018184,g0_4
33,38.6085035,-102.0430684,g0_4
34,38.7041849,-102.0035106,g0_4
35,38.6779584,-102.0014726,g0_4
36,38.757504,-102.0364935,g0_4
37,38.7151244,-102.0126127,g0_4
38,38.6805444,-102.0018184,g0_4
39,38.6805444,-102.0018184,g0_4
40,38.6823558,-102.0018165,g0_4
41,38.6915,-102.01955,g0_4
42,38.6769463,-102.0357696,g0_4
43,38.6730956,-102.0287692,g0_4
44,37.000589,-95.9800054,g10_1
45,37.3838473,-95.8545146,g10_1
46,37.4073281,-95.8707666,g10_1
47,37.2396219,-95.7496443,g10_1
48,37.3527224,-95.9652045,g10_1
49,37.2992427,-95.8741485,g10_1
50,37.4913901,-95.3451027,g10_1
51,37.0057797,-95.3575383,g10_1
52,37.4844866,-95.616978,g10_1
53,37.2969331,-95.4713058,g10_1
54,37.3722311,-95.3718515,g10_1
55,37.3522506,-95.4323672,g10_1
56,37.4220267,-95.4873507,g10_1
57,37.3709527,-95.3870876,g10_1
58,37.3597956,-95.4102088,g10_1
59,37.7672669,-95.4773183,g10_2
60,37.9628773,-95.4306734,g10_2
61,37.7727375,-95.8549788,g10_2
62,37.9784126,-95.9158901,g10_2
63,37.8569639,-95.5308726,g10_2
64,37.7699482,-95.8488379,g10_2
65,37.4990747,-95.6259926,g10_2
66,37.5089535,-95.486903,g10_2
67,37.5984455,-95.3465915,g10_2
68,37.7319059,-95.7652655,g10_2
69,37.7615636,-95.4282999,g10_2
70,37.5032105,-95.3452968,g10_2
71,37.6372537,-95.7427831,g10_2
72,37.6121801,-95.576272,g10_2
73,37.5089103,-95.7643335,g10_2
74,38.2276179,-95.9411537,g10_3
75,38.2423697,-95.9385998,g10_3
76,38.157017,-95.9187153,g10_3
77,38.1129529,-95.4415431,g10_3
78,38.1911052,-95.6255326,g10_3
79,38.1368969,-95.5748899,g10_3
80,38.0285102,-95.5571523,g10_3
81,38.1042258,-95.9027599,g10_3
82,38.0725109,-95.6100845,g10_3
83,38.1462203,-95.6299652,g10_3
84,38.0148345,-95.7812622,g10_3
85,38.0351699,-95.8587436,g10_3
86,38.0798961,-95.7339438,g10_3
87,38.04244,-95.42939,g10_3
88,38.0701099,-95.8009426,g10_3
89,38.9545167,-95.9663699,g10_4
90,38.9527054,-95.9663699,g10_4
91,38.9255789,-95.9685926,g10_4
92,39.0121087,-95.4789921,g10_4
93,38.6469719,-95.6075101,g10_4
94,38.6469719,-95.6075101,g10_4
95,38.5925429,-95.5996189,g10_4
96,38.6338999,-95.4662999,g10_4
97,38.5205273,-95.5805273,g10_4
98,39.0121087,-95.4789921,g10_4
99,38.5925429,-95.5996189,g10_4
100,39.0121087,-95.4789921,g10_4
101,38.6469719,-95.6075101,g10_4
102,39.0121087,-95.4789921,g10_4
103,39.4380193,-95.9530043,g10_5
104,39.4380193,-95.9530043,g10_5
105,39.4380193,-95.9530043,g10_5
106,39.4380193,-95.9530043,g10_5
107,39.4380193,-95.9530043,g10_5
108,39.4380193,-95.9530043,g10_5
