rep_id,status,n_raw,n_finite_gr,z_min,z_max,z_fin_min,z_fin_max,n_samples,p_lo,p_hi,p_lo_val,p_hi_val,fill_nans,max_gap_depth,imputed_frac_rs
1,OK,5106,4976,1360.0,3912.5,1360.0,3847.5,400,1.0,99.0,16.145018987468806,122.8157827568919,True,,0.0275
2,OK,5041,4923,1400.0,3920.0,1400.0,3861.0,400,1.0,99.0,19.654401684210516,127.18603431579218,True,,0.025
3,OK,1045,928,3400.0,3922.0,3400.0,3863.5,400,1.0,99.0,17.529959624059863,109.7276830526315,True,,0.1125
4,OK,5103,4985,1350.0,3901.0,1350.0,3842.0,400,1.0,99.0,15.214172751879714,136.41615937845265,True,,0.025
5,OK,7326,7196,1380.0,5042.5,1380.0,4977.5,400,1.0,99.0,17.55572011278194,197.3318005413516,True,,0.02
6,OK,6722,6604,1410.0,4770.5,1410.0,4711.5,400,1.0,99.0,18.16483202757138,205.71847841353497,True,,0.02
7,OK,9473,9473,-1.0,4735.0,-1.0,4735.0,400,1.0,99.0,17.927009874686735,152.6478072431074,True,,0.0
8,OK,7287,2194,7.317,14.697,7.317,14.697,400,1.0,99.0,1.202372975563935,26.109579634074368,True,,0.0
9,OK,6705,6593,1678.0,5030.0,1680.0,4988.5,400,1.0,99.0,17.68036701754305,202.3040262406073,True,,0.015
10,OK,7560,7560,1490.5,5270.0,1490.5,5270.0,400,1.0,99.0,18.99040118045109,170.06308478947705,True,,0.0
11,OK,641,641,4950.5,5270.5,4950.5,5270.5,400,1.0,99.0,23.524495756891504,148.2803503308313,True,,0.0
12,OK,8837,8616,1370.0,5788.0,1372.5,5685.5,400,1.0,99.0,6.8209852631576675,143.7946224561429,True,,0.0275
13,OK,2365,2365,1318.0,2500.0,1318.0,2500.0,400,1.0,99.0,29.911393308270284,127.0849068421051,True,,0.0
14,OK,3601,3577,1401.0,5001.0,1402.0,4978.0,400,1.0,99.0,19.777481278195665,144.0130577443669,True,,0.01
15,OK,8395,8395,1378.0,5575.0,1378.0,5575.0,400,1.0,99.0,22.444955864661832,144.64078466165415,True,,0.0
16,OK,10035,9978,1494.0,6511.0,1494.0,6482.5,400,1.0,99.0,11.555169323308165,178.53401614037588,True,,0.0075
17,OK,11600,11513,0.0,5799.5,0.0,5799.5,400,1.0,99.0,17.777232950358872,176.13258066666629,True,,0.0
18,OK,3638,3638,0.0,1818.5,0.0,1818.5,400,1.0,99.0,14.468935488721984,131.72180776942432,True,,0.0
19,OK,3228,3228,4.0,1617.5,4.0,1617.5,400,1.0,99.0,15.866490526315133,110.80161684210499,True,,0.0
20,OK,12921,12877,40.0,6500.0,44.5,6482.5,400,1.0,99.0,13.346554285714445,167.71443238095327,True,,0.0075
21,OK,3117,3117,1.0,1559.0,1.0,1559.0,400,1.0,99.0,9.892917619047664,114.26321523809544,True,,0.0
22,OK,3011,3011,51.5,1556.5,51.5,1556.5,400,1.0,99.0,10.45876578947433,63.995907368420966,True,,0.0
23,OK,6741,6637,1874.0,5244.0,1882.5,5200.5,400,1.0,99.0,18.687232573934576,287.18402051884345,True,,0.02
24,OK,9953,9827,474.0,5450.0,475.0,5394.5,400,1.0,99.0,7.63710355889706,163.21647130325752,True,,0.015
25,OK,23486,23477,-12.3,2336.2,-12.3,2335.3,400,1.0,99.0,11.504515859650729,80.1151281052638,True,,0.0025
26,OK,4956,4949,21.5,2499.0,21.5,2499.0,400,1.0,99.0,7.535764912280884,145.69098664160398,True,,0.0
27,OK,3425,3425,200.0,1912.0,200.0,1912.0,400,1.0,99.0,16.815302706766726,114.03217779448562,True,,0.0
28,OK,3949,3949,3.0,1977.0,3.0,1977.0,400,1.0,99.0,24.62896157894713,112.17037315789482,True,,0.0
29,OK,2232,2232,843.0,1958.5,843.0,1958.5,400,1.0,99.0,6.034421228070191,107.76071957393508,True,,0.0
30,OK,601,601,1750.0,2050.0,1750.0,2050.0,400,1.0,99.0,7.806635803848616,124.20201325866496,True,,0.0
31,OK,521,501,1740.0,2000.0,1750.0,2000.0,400,1.0,99.0,158.99244171561278,287.3704935580244,True,,0.04
32,OK,521,501,1740.0,2000.0,1750.0,2000.0,400,1.0,99.0,164.75339879215207,288.8923080153797,True,,0.04
33,OK,10486,10426,-1.5,5240.5,-1.5,5240.5,400,1.0,99.0,14.179236849623909,211.54606835338163,True,,0.0
34,OK,4301,4301,3100.0,5250.0,3100.0,5250.0,400,1.0,99.0,13.165795208014659,276.41411106233386,True,,0.0
35,OK,501,501,1750.0,2000.0,1750.0,2000.0,400,1.0,99.0,162.97898891866916,293.7451781344221,True,,0.0
36,OK,10374,10372,563.0,5749.5,564.0,5749.5,400,1.0,99.0,0.8216117192982489,14.389987303257582,True,,0.0025
37,OK,5519,5516,48.5,2807.5,48.5,2807.5,400,1.0,99.0,7.392771578947246,139.38241518796963,True,,0.0
38,OK,521,521,1750.0,2010.0,1750.0,2010.0,400,1.0,99.0,160.8843448328007,297.9188611959252,True,,0.0
39,OK,4726,4726,496.5,2859.0,496.5,2859.0,400,1.0,99.0,7.748672105263507,139.49538421052415,True,,0.0
40,OK,601,601,1750.0,2050.0,1750.0,2050.0,400,1.0,99.0,11.02161133789003,129.90846960245293,True,,0.0
41,OK,5010,5010,351.0,2855.5,351.0,2855.5,400,1.0,99.0,9.363475588972637,125.93672353383432,True,,0.0
42,OK,4491,4491,570.0,2815.0,570.0,2815.0,400,1.0,99.0,10.663846290726864,136.7598578195484,True,,0.0
43,OK,4278,4278,711.5,2850.0,711.5,2850.0,400,1.0,99.0,7.810101578947573,119.22894438596458,True,,0.0
44,OK,2393,2362,600.0,1796.0,600.0,1780.5,400,1.0,99.0,9.796539679197979,250.84642268421533,True,,0.015
