station,rep_id,lon,lat
1,627,-98.6476853,37.0319009
2,717,-98.5973967,37.1101946
3,631,-98.6120356,37.1311685
4,729,-98.4692857,37.2011967
5,724,-98.391957,37.284909
6,726,-98.2110076,37.3435872
7,718,-98.0890012,37.4267858
8,735,-98.0696068,37.4882061
9,741,-98.0185225,37.529716
10,815,-97.922348,37.7592074
11,814,-97.7166461,37.8916367
12,832,-97.6114861,38.0549245
13,824,-97.4691647,38.207123
14,885,-97.2383058,38.3670382
15,899,-97.0262418,38.4387749
16,907,-97.0149725,38.5230928
17,909,-96.992236,38.5462379
18,903,-96.9252443,38.6230382
19,900,-96.912824,38.633857
20,990,-96.481265,39.0587172
21,984,-96.4854704,39.1005552
22,982,-96.4436672,39.1604621
23,991,-96.1265572,39.4217754
24,986,-96.0423213,39.5051601
25,997,-96.0178705,39.5466566
26,994,-96.0152307,39.5787125
27,120,-95.9375917,39.6538925
28,124,-95.9182299,39.6704449
29,117,-95.8970923,39.702804
30,119,-95.8895894,39.7150162
31,128,-95.7954696,39.7997212
32,118,-95.8429259,39.8502556
33,130,-95.7233031,39.9627339
